"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"CELESTICA INC (WAS LUCENT TECH) (PROD & MAINT)",275,"OH COLUMBUS","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2020","Nov 30, 2006","33421","2050","PRIVATE"
"CELESTICA INC. (WAS LUCENT TECH) (PROD & MAINT)",274,"OK OKLAHOMA CIT","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2021","Nov 30, 2006","334413","638","PRIVATE"
"CEMENT & CONCRETE WORKERS & INDEPDNT EMPLYRS",1517,"NY NEW YORK","LABORERS  (LIUNA) LOCAL UNION 18 A/LABORERS  (LIUNA) LOCAL UNION 20 CEMENT & CONCRETE LOCAL UNION/LABORERS  (LIUNA) LOCAL UNION 6 A","Jun 30, 2005","23814","2800","PRIVATE"
"CEMENT LEAGUE",1017,"NY NEW YORK","UBC DC OF NYC","Jun 30, 2006","23811","10000","PRIVATE"
"CEMENT LEAGUE",1348,"NY NEW YORK","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 46 METALLIC LATHERS' UNION","Jun 30, 2002","23811","1000","PRIVATE"
"CEMEX CONSTRUCTION MATERIALS ATLANTIC LLC",2456,"OH","BOILERMAKERS AFL-CIO (BBF) LODGE 357 D CEMENT WORKERS","Feb 28, 2021",,,"PRIVATE"
"CEMEX CONSTRUCTION MATERIALS SOUTH LLC",2278,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428","Sep 30, 2021",,,"PRIVATE"
"CEMEX CONSTRUCTION MATERIALS SOUTH LLC",2279,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428","Jun 30, 2021",,,"PRIVATE"
"CEMEX CONSTRUCTION MATERIALS SOUTH, LLC - CENTRAL DISTRICT",2036,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428","Sep 30, 2017","23621","1693","PRIVATE"
"CEMEX CONSTRUCTION MATERIALS SOUTH, LLC (CAMP VERDE AND PRESCOTT)",2422,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428","Mar 31, 2019",,,"PRIVATE"
"CENTERAL HUDSON GAS & ELECTRIC",524,"NY","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 320",,,,"PRIVATE"
"CENTERPLATE HOSPITALITY VENTURE EMPLOYER",2451,"FL","UNITE HERE  737","Aug 4, 2018",,,"PRIVATE"
"CENTERPOINT ENERGY, HOUSTON ELECTRIC, LLC",466,"TX HOUSTON","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 66","May 25, 2006","22111","1500","PRIVATE"
"CENTERRA GROUP, LLC",2258,"DC","SDM ","May 31, 2018",,,"PRIVATE"
"CENTRAL HUDSON GAS & ELECTRIC",522,"NY","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 320","Apr 30, 2008","221","900","PRIVATE"
"CENTRAL HUDSON GAS & ELECTRIC",523,"NY","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 320","Apr 30, 2016","221","1000","PRIVATE"
"CENTRAL ILLINOIS BUILDERS OF AGC",2145,"IL","LABORERS  (LIUNA) LOCAL UNION 362/LABORERS  (LIUNA) LOCAL UNION 538/LABORERS  (LIUNA) LOCAL UNION 996","Apr 30, 2017","237310",,"PRIVATE"
"CENTRAL MASS TRANSIT MANAGEMENT, INC.",2520,"MA","TRANSIT UNION AFL-CIO (ATU) LOCAL DIVISION 22","Aug 31, 2019",,,"PRIVATE"
"CENTRAL MISSOURI GLAZING CONTRACTORS",2303,"MO","IUPAT 1185","Mar 31, 2018",,,"PRIVATE"
"CENTRAL TEXAS GLAZIERS",1888,"TX","PAT 1778","May 31, 2011","325510","2125","PRIVATE"
"CENTRAL TEXAS GLAZIERS",1889,"TX","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 88","May 31, 2016","325510","2125","PRIVATE"
"CENTRAL TEXAS GLAZIERS",2370,"TX","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 88","May 31, 2017",,,"PRIVATE"
"CESSNA AIRCRAFT CO.",317,"KS WICHITA","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 70/MACHINISTS AFL-CIO (IAM) LODGE 774","Sep 12, 2004","336411","6100","PRIVATE"
"CH MURPHY/ CLARK ULLMAN INC.",1812,"OR","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Sep 30, 2010","238390","1000","PRIVATE"
"CHAIN & INDEPENDENT FOOD STORES (GROCERY & MEAT )",616,"MN MINNEAPOLIS","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 653","Mar 4, 2007","445110","12925","PRIVATE"
"CHANGE TO WIN",2181,"DC","WBNG 32035","Dec 31, 2017",,,"PRIVATE"
"CHANUTE MANUFACTURING CO.",1792,"-","BOILERMAKERS AFL-CIO (BBF) LODGE 83","Nov 30, 2012","316999","1000","PRIVATE"
"CHENEGA SECURITY & SUPPORT SOLUTIONS LLC (CS3)",2224,"TX","SECURITY POLICE, FIRE PROF, IND (SPFPA) LOCAL UNION 300","Sep 30, 2019",,,"PRIVATE"
"CHEVRON ORONITE COMPANY, LLC",2300,"LA","SWU 13-447","Mar 31, 2019",,,"PRIVATE"
"CHEVRON USA, INC.",2283,"TX","SUP ","Mar 31, 2023",,,"PRIVATE"
"CHEVRON USA, INC.",2302,"CA","SUP ","Mar 31, 2017",,,"PRIVATE"
"CHICAGO AREA REFUSE HAULERS ASSOCIATION (PRIVATE SCAVENGERS)",520,"IL CHICAGO","TEAMSTERS (IBT) LOCAL UNION 731","Sep 30, 2008","562219","2500","PRIVATE"
"CHICAGO EXHIBIT PRODUCTIONS",2318,"IL","CRCC ","May 31, 2016",,,"PRIVATE"
"CHICAGO LITHOGRAPHERS ASSOCIATION.",141,"IL CHICAGO","GCIU 458-3M","Apr 30, 2007","323114","1000","PRIVATE"
"CHICAGO MIDWEST MEAT ASSOCIATION.",41,"IL CHICAGO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1546","Oct 31, 2006","311612","4500","PRIVATE"
"CHICAGO ROOFING CONTRACTORS ASSOCIATION.",953,"IL CHICAGO","ROOFERS AFL-CIO (RWAW) LOCAL UNION 11","May 31, 2007","23816","2000","PRIVATE"
"CHICAGO TRANSIT AUTHORITY",2319,"IL","CRCC ","Dec 31, 2016",,,"PRIVATE"
"CHICAGO WALK-UP APARTMENTS",806,"IL CHICAGO","SEIU 1","Nov 30, 2005","53111","1100","PRIVATE"
"CHICAGO, UNIVERSITY OF",829,"IL CHICAGO","TEAMSTERS (IBT) LOCAL UNION 743 WAREHOUSE, MAIL ORDER, OFFICE, TECHNICAL AND PROF","Feb 28, 2007","611310","1000","PRIVATE"
"CHICAGO, UNIVERSITY OF, HOSPITALS",940,"IL CHICAGO","TEAMSTERS (IBT) LOCAL UNION 743 WAREHOUSE, MAIL ORDER, OFFICE, TECHNICAL AND PROF","Jul 10, 2006","62211","1300","PRIVATE"
"CHICAGOLAND SHEET METAL CONTRACTORS ASSOCIATION.",1413,"IL CHICAGO","SMW 73","May 31, 2005","23822","2900","PRIVATE"
"CHILDREN'S HOSPITALS AND CLINICS",759,"MN MINN-ST PAUL","MNA -","May 31, 2007","62211","1100","PRIVATE"
"CHIMES DC, INC.",1300,"DC","SERVICE EMPLOYEES (SEIU) LOCAL UNION 32 BJ","Aug 31, 2022","561720","10","PRIVATE"
"CHRYSLER CORP. DAYTON THERMAL PROD. (HEAT & COOL)",236,"OH DAYTON","CWA/IUE 775","Sep 28, 2007","336391","1800","PRIVATE"
"CHURCH WORLD SERVICE & NATIONAL COUNCIL OF CHURCHES",1919,"IN","UAW 2110","Mar 31, 2011","813319","2771","PRIVATE"
"CINCINNATI BELL",410,"OH CINCINNATI","CWA ","May 7, 2005","517110","2000","PRIVATE"
"CINCINNATI GAS AND ELECTRIC CO. (CINERGY CORP.)",492,"OH CINCINNATI","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1347","Apr 1, 2006","221119","1500","PRIVATE"
"CINCINNATI GAS AND ELECTRIC CO. (CINERGY CORP.)",493,"OH CINCINNATI","UWU 600","Apr 1, 2005","221119","900","PRIVATE"
"CINGULAR WIRELESS, LLC",784,"IL MA MD NY","CWA 1,2,4","Feb 5, 2005","517110","2200","PRIVATE"
"CIRCUS CIRCUS HOTEL & CASINO",744,"NV LAS VEGAS","UNITE HERE  226, 165","May 31, 2007","72112","6500","PRIVATE"
"CITY MARKET INC. (RETAIL CLERKS) GRAND JUNCTION AND CLIFTON",2019,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Oct 5, 2013","4445110","2000","PRIVATE"
"CITY MARKET INC. (RETAIL CLERKS) STEAMBOAT SPRINGS",2021,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Oct 5, 2013","4445110","2000","PRIVATE"
"CITY MARKET INC. (RETAIL MEAT)",2020,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Oct 5, 2013","4445110","2000","PRIVATE"
"CITY OF CHICAGO",2052,"IL CHICAGO","BSIOW 63","Jun 30, 2017","23622","1616","PRIVATE"
"CLARION NORTH AMERICA, INC.",1329,"IL","IATSE 414","Jun 30, 2022","512199","100","PRIVATE"
"CLARK FIRE PROTECTION PRODUCTS, INC.",1313,"OH","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 34","Aug 25, 2023","333618","80","PRIVATE"
"CLASSIC WOODWORK, INC.",2320,"IL","CRCC ","May 31, 2019",,,"PRIVATE"
"CLEAVER-BROOKS NEBRASKA BOILER",1793,"NE","BOILERMAKERS AFL-CIO (BBF) LODGE 83","Nov 4, 2011","316999","1000","PRIVATE"
"CLEVELAND FOOD INDUSTRY COMMITTEE (CLERKS)",598,"OH CLEVELAND","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 880","Sep 11, 2005","445110","10700","PRIVATE"
"CLEVELAND-AKRON-CANTON FOOD IND COMM (MEAT)",596,"OH","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 880","Sep 14, 2008","445110","3300","PRIVATE"
"CLEVELAND-AKRON-CANTON FOOD IND COMM (MEAT)",597,"OH PA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 880","Sep 11, 2005","445110","3300","PRIVATE"
"CLOTHING MFRS. OF THE USA",95,"NATIONAL","UNITE HERE  ","Mar 26, 2007","315211","35000","PRIVATE"
"COAL OPERATORS & ASSOCIATES, INC",1080,"KY","BCOA -","Dec 31, 2006","561612","1000","PRIVATE"
"COALITION OF KAISER PERMANENTE UNIONS AFL-CIO",2182,"DC","WBNG 32035","Mar 31, 2017",,,"PRIVATE"
"COASTAL INTERNATIONAL SECURITY",1764,"DC","SECURITY POLICE, FIRE PROF, IND (SPFPA) LOCAL UNION 287","Nov 30, 2007","561612","1000","PRIVATE"
"COASTAL INTERNATIONAL SECURITY",1765,"DC","SECURITY POLICE, FIRE PROF, IND (SPFPA) LOCAL UNION 287","Sep 30, 2010","561612","1000","PRIVATE"
"COASTAL INTERNATIONAL SECURITY (DEPT. OF COMMERCE)",1762,"WASH, DC","USPOA -","Nov 30, 2012","561612","1000","PRIVATE"
"COASTAL INTERNATIONAL SECURITY (DEPT. OF COMMERCE)",1763,"WASH, DC","SPPO -","Sep 30, 2011","561612","1000","PRIVATE"
"COASTAL INTERNATIONAL SECURITY (DEPT. OF INTERIOR)",1786,"DC","NASPSO -","Sep 30, 2011","561612","1000","PRIVATE"
"COCA-COLA BOTTLING COMPANY OF CAPE COD, INC",2522,"MA","TEAMSTERS (IBT) LOCAL UNION 59","Apr 1, 2019",,,"PRIVATE"
"COFFEYVILLE RESOURCES",1794,"KS","BOILERMAKERS AFL-CIO (BBF) LODGE 83/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 226/ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 123/MACHINISTS AFL-CIO (IAM) LODGE 693/PLUMBERS AFL-CIO (PPF) LOCAL UNION 441/TEAMSTERS (IBT) LOCAL UNION 823","Mar 3, 2017","316999",,"PRIVATE"
"COFFEYVILLE RESOURCES",1795,"KS","BOILERMAKERS AFL-CIO (BBF) LODGE 83/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 226/ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 123/MACHINISTS AFL-CIO (IAM) LODGE 693/PLUMBERS AFL-CIO (PPF) LOCAL UNION 441/TEAMSTERS (IBT) LOCAL UNION 823","Mar 3, 2013","316999",,"PRIVATE"
"COLORADO CHAPTER REFRIGERATION AND AC",1734,"CO","PLUMBERS AFL-CIO (PPF) LOCAL UNION 208","May 31, 2003",,,"PRIVATE"
"COLORADO CHAPTER REFRIGERATION AND AC",1735,"CO","PLUMBERS AFL-CIO (PPF) LOCAL UNION 208","May 31, 2009","23822","1700","PRIVATE"
"COLORADO ROOFING CONTRACTORS",2112,"CO","ROOFERS AFL-CIO (RWAW) LOCAL UNION 58","Apr 30, 2018","423330",,"PRIVATE"
"COLORADO ROOFING CONTRACTORS",2113,"CO","ROOFERS AFL-CIO (RWAW) LOCAL UNION 58","Apr 30, 2016",,,"PRIVATE"
"COLUMBIA STATEWIDE LABORERS' INDEPENDENT BLDG. AGREEMENT",1441,"CO","LIUNA -","Apr 30, 2004","813319","2771","PRIVATE"
"COLUMBIA UNIVERSITY (SUPPORT STAFF)",1920,"NY","UAW 2110","Jan 31, 2012","813319","2771","PRIVATE"
"COM ED FACILITIES- ILLINOIS (JONES LANG LASALLE AMERICAS, INC.)",2550,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 399","May 31, 2020",,,"PRIVATE"
"COMMERICAL CLEANING SERVICES",2494,"MN","LIUNA ","Apr 30, 2019",,,"PRIVATE"
"COMMUNICATIONS CABLING & NETWORKING, INC.",2557,"WI","COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 4603","May 30, 2020","238210","105","PRIVATE"
"COMMUNITY HOSPITAL AT DOBBYS FERRY",2500,"NY","SEIU 1199","Dec 31, 2007",,,"PRIVATE"
"CONAGRA BEEF COMPANY",1756,"CO","UFCWU -","Nov 21, 2004","23731","1500","PRIVATE"
"CONAGRA FOODS COMPANY, INC",1183,"CO","UF, IBT -","Jul 16, 2006","23731","1500","PRIVATE"
"CONAGRA FOODS, INC",70,"PA","UFCWU -","Feb 7, 2010","23731","1500","PRIVATE"
"CONCRETE CONTRACTORS ASSOCIATION OF GREATER CHICAGO",1397,"IL","LIUNA -","May 31, 2006","23731","1500","PRIVATE"
"CONCRETE CONTRACTORS ASSOCIATION OF GREATER CHICAGO",2411,"IL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 11/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 502","May 31, 2021",,,"PRIVATE"
"CONDOMINIUM COOPERATIVE EMPLOYERS COUNCIL",2041,"SAN FRANCISCO","SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877","Sep 30, 2012",,,"PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION",1263,"CT","LABORERS  (LIUNA) LOCAL UNION 146/LABORERS  (LIUNA) LOCAL UNION 230/LABORERS  (LIUNA) LOCAL UNION 455/LABORERS  (LIUNA) LOCAL UNION 611/LABORERS  (LIUNA) LOCAL UNION 665/LABORERS  (LIUNA) LOCAL UNION 675","Mar 31, 2012","23731","1500","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",986,"CT HARTFORD","UBC 24,43,210","Apr 30, 2006","23731","3000","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",1258,"CT","TEAMSTERS (IBT) JOINT COUNCIL 10","Mar 31, 2005","23731","1100","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",1261,"CT","LABORERS  (LIUNA) DISTRICT COUNCIL 0 CONNECTICUT","Mar 31, 2009","23731","1500","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",1262,"CT","LABORERS  (LIUNA) DISTRICT COUNCIL 0 CONNECTICUT","Mar 31, 2005","23731","1500","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION, INC.",1394,"CONNECTICUT","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 478","Mar 31, 2014",,,"PRIVATE"
"CONNECTICUT LIGHT & POWER CO (NE UTILITIES CO)",494,"CT","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 420/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 457","Jun 1, 2004","22111","800","PRIVATE"
"CONNECTICUT STATE (HEALTH CARE-UNITS P1 & NP6)",39,"CT","SERVICE EMPLOYEES (SEIU) DISTRICT 1199 NEW ENGLAND HEALTH CARE EMPL UNION","Jun 30, 2005","622","7350","PRIVATE"
"CONNECTICUT STATE BOARD OF EDUCATION",36,"CT","AFT 4200A","Aug 31, 2011","611110","1000","PRIVATE"
"CONNECTICUT STATE BOARD OF EDUCATION (VOC TEACHERS)",35,"CT","AFT 4200A","Aug 31, 2007","611110","1000","PRIVATE"
"CONNECTICUT STATE JUDICIAL BRANCH (NON PROFESSIONALS)",37,"CT","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LOCAL UNION 749 CSEA -- ALFRED COLLEGE OF CERAMICS","Jun 30, 2006","922110","1400","PRIVATE"
"CONNETICUT CONSTRUCTION INDUSTRIES ASSOCIATION, INC.",1491,"CT","TEAMSTERS (IBT) JOINT COUNCIL 10/TEAMSTERS (IBT) LOCAL UNION 191/TEAMSTERS (IBT) LOCAL UNION 493/TEAMSTERS (IBT) LOCAL UNION 559 GROCERY BAKERY CONSTRUCTION DRIVERS & HELPERS/TEAMSTERS (IBT) LOCAL UNION 677","Mar 31, 2005",,,"PRIVATE"
"CONSOLIDATED EDISON CO. OF NEW YORK",495,"NY","UTILITY WORKERS AFL-CIO (UWU) LOCAL UNION 1 2","Jun 26, 2004","221","8600","PRIVATE"
"CONSOLIDATED PAPER, INC.",118,"WI","USWA/PACE  -","Apr 30, 2005","322121","2600","PRIVATE"
"CONSTRUC IND COUN OF WESTCH & HUDSN VLLY (HVY-HWY-ENGR)",1492,"NY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 137","Mar 6, 2005","23731","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS & EMPLOYERS",1054,"ME NH VT","UBC 1996","Sep 30, 2006","23621","1500","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (BLDG)",1581,"NY NEWBURGH","LABORERS  (LIUNA) LOCAL UNION 17","May 31, 2007","23622","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (NON-RES)",1044,"NY NEWBURGH","UBC RC, UPSTATE NY","May 31, 2006","23622","3000","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (RESID)",989,"NY HUDSON VALLEY","LABORERS  (LIUNA) LOCAL UNION 17","May 31, 2005","2361","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (RESIDENTIAL)",988,"NY","LABORERS  (LIUNA) LOCAL UNION 17","May 31, 2009","2361","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS COUNCIL, AGC LABOR DIV",1200,"DC VA MD","UBC DC RC","Apr 30, 2004","23622","4000","PRIVATE"
"CONSTRUCTION CONTRACTORS LABOR EMPLOYEES OF NJ & AGC, NJ",1461,"NJ","UBC 1456","Apr 30, 2007",,,"PRIVATE"
"CONSTRUCTION EMPLOYERS",984,"NY BUFFALO","UBC EMPIRE ST RC","May 14, 2002","23621","1000","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION (BLDG)",1436,"OH CLEVELAND","LABORERS  (LIUNA) LOCAL UNION 310","Apr 30, 2005","23622","1700","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION (BLDG)",1618,"OH CLEVELAND","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 18","Apr 30, 2006","23622","3300","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION OF CENTRAL KY",998,"KY CENTRAL","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","May 31, 2006","23731","2800","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION OF CLEVELAND OHIO",2416,"OH","BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 5 CLEVELAND OHIO","Apr 30, 2020",,,"PRIVATE"
"CONSTRUCTION EQUIPMENT RENTAL ASSOCIATION",1106,"DC METRO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 77","Apr 30, 2005","2389","1000","PRIVATE"
"CONSTRUCTION INDUSTRIES COUNTIES OF WESTCHESTER & HUDSON VALLEY (HVY-HWY)",1675,"NY SOUTHEAST","LABORERS  (LIUNA) LOCAL UNION 60","Mar 31, 2007","23731","900","PRIVATE"
"CONSTRUCTION INDUSTRIES OF MA (HVY-HWY)",1259,"MA","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4","May 31, 2005","23731","3600","PRIVATE"
"CONSTRUCTION INDUSTRIES OF MA (HVY-HWY)",1260,"MA","IBT JC 10, 8 LOCALS","Jun 1, 2004","23731","1100","PRIVATE"
"CONSTRUCTION INDUSTRIES OF MASSACHUSETTS, INC",1257,"NY","IBT -","May 31, 2008","23621",,"PRIVATE"
"CONSTRUCTION INDUSTRIES OF RI (HVY-HWY)",1045,"RI","CARPENTERS IND (CJA) LOCAL UNION 94","Jun 7, 2009","23731","1000","PRIVATE"
"CONSTRUCTION INDUSTRIES OF RI (HVY-HWY)",1046,"RI","UBC 94","Jun 5, 2005","23731","1000","PRIVATE"
"CONSTRUCTION INDUSTRY ASSOCIATION OF ROCHESTER (COMML)",1048,"NY ROCHESTER","UBC 85","Apr 30, 2006","23622","1300","PRIVATE"
"CONSTRUCTION INDUSTRY ASSOCIATION OF ROCHESTER, NY",1897,"NY ROCHESTER","CARPENTERS IND (CJA) LOCAL UNION 85","Apr 30, 2011","23731","1057","PRIVATE"
"CONSTRUCTION INDUSTRY ASSOCIATION-WAS BUILDING TRADES EMPLOYERS (COML)",1446,"NY ROCHESTER","LABORERS  (LIUNA) LOCAL UNION 435","Apr 30, 2006","23622","1100","PRIVATE"
"CONSTRUCTION INDUSTRY COUNCIL ET AL (HVY-HWY)",1456,"NY WESTCHESTER","UBC 11, 964","Apr 30, 2004","23731","1200","PRIVATE"
"CONSTRUCTION INDUSTRY EMPLOYERS ASSOCIATION.",1202,"NY BUFFALO","LABORERS  (LIUNA) LOCAL UNION 210","Jun 30, 2007","23622","1800","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",958,"PA","CARPENTERS IND (CJA) LOCAL UNION 2274","Dec 31, 2010","23622","1000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",959,"PA WESTERN","UBC 2274","Dec 31, 2004","23622","1000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",1273,"PA WESTERN","TEAMSTERS (IBT) JOINT COUNCIL 40","Jan 1, 2008","23731","1000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",1623,"PA WESTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 66","Dec 31, 2004","23622","6500","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",1634,"PA WESTERN","LIUNA 8 LOCALS","Dec 31, 2004","23622","8000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA",2243,"PA","CEMENT MASONS  526","Dec 31, 2014",,,"PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA",2242,"PA","PILE DRIVERS  2235","Dec 30, 2004",,,"PRIVATE"
"CONSTRUCTORS LABOR COUNCIL OF WEST VIRGINIA",1638,"WV","BSOIW ","Nov 30, 2006",,,"PRIVATE"
"CONSTRUCTORS LABOR COUNCIL OF WEST VIRGINIA",1679,"WV","OPCM ","Nov 30, 2006",,,"PRIVATE"
"CONSTRUCTORS' - AREA 438",1877,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2017","238140","1730","PRIVATE"
"CONSTRUCTORS' - AREA 438",1878,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2015","238140","1730","PRIVATE"
"CONSTRUCTORS' - AREA 438",1879,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2012","238140","1730","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1636,"WV MD OH KY","IABSORI -","Nov 30, 2009","23731","1450","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1637,"WV MD OH KY","IABSORI -","Dec 6, 2006","23731","1450","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1639,"WV","BSIOW -","Dec 6, 2012","23731","1540","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1646,"WV MD OH KY","LABORERS  (LIUNA) LOCAL UNION 10 RESIDENT/HOUSING/CONSTRUCTION/LABORERS  (LIUNA) LOCAL UNION 149/LABORERS  (LIUNA) LOCAL UNION 379/LABORERS  (LIUNA) LOCAL UNION 453/LABORERS  (LIUNA) LOCAL UNION 543/LABORERS  (LIUNA) LOCAL UNION 984","Dec 6, 2012","23731","7300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1647,"WV MD OH KY","LIUNA MULTI","Dec 6, 2005","23731","7300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1649,"WV","LIUNA -","Dec 6, 2012","23731","7300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1651,"WV MD OH KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 132","Dec 6, 2005","23731","3200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1652,"WV","IUOE -","Dec 6, 2012","23731","3200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1657,"WV","CARPENTERS IND (CJA) LOCAL UNION 2235","Nov 30, 2009","23731","4200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1658,"WV MD OH KY","MARCC -","Dec 6, 2006","23731","4200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1659,"WV","CJA -","Dec 6, 2012","23731","4200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1676,"WV","OPCM -","Nov 30, 2009","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1677,"WV MD OH KY","OPCM -","Dec 6, 2006","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1680,"WV","OPCM -","May 31, 2012","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL OF WEST VA / OPCM",1678,"WV","OPCM ","Dec 6, 2009","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL OF WEST VA IUOE",1650,"WV","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 132","Dec 6, 2006","23731","3200","PRIVATE"
